0.005236	3.733479e+04	2.715062e-04	5
0.007960	4.171395e+04	1.065650e-03	12
0.011927	2.672339e+04	2.297027e-03	33
0.016340	3.273005e+04	7.233823e-03	57
0.021942	2.230241e+04	1.193522e-02	157
0.030220	1.950021e+04	2.726297e-02	398
0.041041	1.522150e+04	5.330661e-02	930
0.055916	1.145273e+04	1.014354e-01	2388
0.076364	8.802470e+03	1.985848e-01	6000
0.104223	5.545613e+03	3.180618e-01	15066
0.142395	3.797441e+03	5.554516e-01	38404
0.194548	2.442654e+03	9.112030e-01	97160
0.265685	1.625184e+03	1.544090e+00	246467
0.362900	1.114614e+03	2.698712e+00	627013
0.495774	7.871704e+02	4.859499e+00	1596037
0.677254	5.663343e+02	8.912453e+00	4060944
0.925159	4.015616e+02	1.610911e+01	10342985
1.263820	2.683682e+02	2.744460e+01	26344654
1.726427	1.604078e+02	4.181578e+01	67115256
2.358373	8.870037e+01	5.894316e+01	171019989
