8.868633e-02	1.011163e-01	9.877276e-02	9.587414e-02	9.020462e-02	7.373983e-02	3.806174e-02	1.000000e+00	1.000000e+00	1.000000e+00	
7.744373e-02	9.368967e-02	9.808325e-02	9.528387e-02	9.028180e-02	7.423093e-02	3.827300e-02	1.000000e+00	1.000000e+00	1.000000e+00	
1.264109e-01	1.039808e-01	9.759165e-02	9.572713e-02	9.003272e-02	7.271755e-02	3.815181e-02	1.000000e+00	1.000000e+00	1.000000e+00	
1.000000e+00	1.187797e-01	1.004915e-01	9.348104e-02	8.726790e-02	7.161102e-02	3.703031e-02	1.000000e+00	1.000000e+00	1.000000e+00	
1.000000e+00	1.096465e-01	8.915473e-02	8.971582e-02	8.191215e-02	6.683924e-02	3.435079e-02	1.000000e+00	1.000000e+00	1.000000e+00	
2.516498e+00	1.000000e+00	4.081459e-02	7.069941e-02	6.688817e-02	5.564000e-02	2.679337e-02	1.000000e+00	1.000000e+00	1.000000e+00	
9.734261e+00	6.095958e-01	6.719707e-02	2.271933e-03	3.704309e-02	2.683187e-02	6.440444e-03	1.000000e+00	1.000000e+00	1.000000e+00	
1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	
1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	
1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	
