4.867056e+04	3.665785e+04	2.239071e+04	1.217992e+04	6.613753e+03	2.909055e+03	1.307528e+03	6.515118e+02	3.206417e+02	1.193671e+02	
3.516297e+04	2.455069e+04	1.951327e+04	1.151050e+04	6.704893e+03	2.956273e+03	1.323658e+03	6.558483e+02	3.193192e+02	1.193904e+02	
1.865463e+04	1.782863e+04	1.733389e+04	1.140615e+04	6.313971e+03	2.862785e+03	1.314014e+03	6.566875e+02	3.198049e+02	1.196705e+02	
1.015889e+04	1.248807e+04	1.133363e+04	9.363146e+03	5.606937e+03	2.774767e+03	1.294554e+03	6.506094e+02	3.197215e+02	1.193961e+02	
8.111940e+03	7.661186e+03	6.397948e+03	5.628732e+03	4.224460e+03	2.401812e+03	1.237190e+03	6.435617e+02	3.189198e+02	1.191632e+02	
3.635615e+03	2.992998e+03	3.182183e+03	2.882358e+03	2.487253e+03	1.807191e+03	1.103629e+03	6.209097e+02	3.142453e+02	1.185837e+02	
1.384130e+03	1.433945e+03	1.370611e+03	1.305673e+03	1.262166e+03	1.124672e+03	8.600741e+02	5.618239e+02	3.010093e+02	1.160833e+02	
6.580249e+02	7.007082e+02	6.753016e+02	6.667568e+02	6.617811e+02	6.386782e+02	5.674249e+02	4.412962e+02	2.642492e+02	1.080998e+02	
3.210567e+02	3.343088e+02	3.293524e+02	3.288831e+02	3.310235e+02	3.261164e+02	3.104321e+02	2.694927e+02	1.858488e+02	8.724905e+01	
1.343610e+02	1.343163e+02	1.330350e+02	1.323694e+02	1.319780e+02	1.312495e+02	1.281093e+02	1.185734e+02	9.412618e+01	5.780347e+01	
